Regions Code,Regions,Occupation (current) (10 categories) Code,Occupation (current) (10 categories),Observation,Year
E12000003,Yorkshire and The Humber,9,9. Elementary occupations,300445,2011
E12000004,East Midlands,1,"1. Managers, directors and senior officials",211205,2011
E12000004,East Midlands,2,2. Professional occupations,301836,2011
E12000004,East Midlands,3,3. Associate professional and technical occupations,223575,2011
E12000004,East Midlands,4,4. Administrative and secretarial occupations,222091,2011
E12000004,East Midlands,5,5. Skilled trades occupations,255516,2011
E12000004,East Midlands,6,"6. Caring, leisure and other service occupations",198979,2011
E12000004,East Midlands,7,7. Sales and customer service occupations,173619,2011
E12000004,East Midlands,8,"8. Process, plant and machine operatives",197635,2011
E12000004,East Midlands,9,9. Elementary occupations,272890,2011
E12000005,West Midlands,1,"1. Managers, directors and senior officials",254317,2011
E12000005,West Midlands,2,2. Professional occupations,400700,2011
E12000005,West Midlands,3,3. Associate professional and technical occupations,278012,2011
E12000005,West Midlands,4,4. Administrative and secretarial occupations,288013,2011
E12000005,West Midlands,5,5. Skilled trades occupations,306898,2011
E12000005,West Midlands,6,"6. Caring, leisure and other service occupations",240619,2011
E12000005,West Midlands,7,7. Sales and customer service occupations,215596,2011
E12000005,West Midlands,8,"8. Process, plant and machine operatives",218943,2011
E12000005,West Midlands,9,9. Elementary occupations,312650,2011
E12000006,East of England,1,"1. Managers, directors and senior officials",287450,2011
E12000006,East of England,2,2. Professional occupations,428500,2011
E12000006,East of England,3,3. Associate professional and technical occupations,314066,2011
E12000006,East of England,4,4. Administrative and secretarial occupations,303080,2011
E12000006,East of England,5,5. Skilled trades occupations,331950,2011
E12000006,East of England,6,"6. Caring, leisure and other service occupations",260882,2011
E12000006,East of England,7,7. Sales and customer service occupations,223706,2011
E12000006,East of England,8,"8. Process, plant and machine operatives",199497,2011
E12000006,East of England,9,9. Elementary occupations,301704,2011
E12000007,London,1,"1. Managers, directors and senior officials",571617,2011
E12000007,London,2,2. Professional occupations,1023866,2011
E12000007,London,3,3. Associate professional and technical occupations,777429,2011
E12000007,London,4,4. Administrative and secretarial occupations,545815,2011
E12000007,London,5,5. Skilled trades occupations,350263,2011
E12000007,London,6,"6. Caring, leisure and other service occupations",328416,2011
E12000007,London,7,7. Sales and customer service occupations,305235,2011
E12000007,London,8,"8. Process, plant and machine operatives",207375,2011
E12000007,London,9,9. Elementary occupations,390465,2011
E12000008,South East,1,"1. Managers, directors and senior officials",470721,2011
E12000008,South East,2,2. Professional occupations,746300,2011
E12000008,South East,3,3. Associate professional and technical occupations,540493,2011
E12000008,South East,4,4. Administrative and secretarial occupations,458338,2011
E12000008,South East,5,5. Skilled trades occupations,469447,2011
E12000008,South East,6,"6. Caring, leisure and other service occupations",392810,2011
E12000008,South East,7,7. Sales and customer service occupations,336244,2011
E12000008,South East,8,"8. Process, plant and machine operatives",237206,2011
E12000008,South East,9,9. Elementary occupations,411791,2011
E12000009,South West,1,"1. Managers, directors and senior officials",275156,2011
E12000009,South West,2,2. Professional occupations,413361,2011
E12000009,South West,3,3. Associate professional and technical occupations,306639,2011
E12000009,South West,4,4. Administrative and secretarial occupations,279717,2011
E12000009,South West,5,5. Skilled trades occupations,341157,2011
E12000009,South West,6,"6. Caring, leisure and other service occupations",249237,2011
E12000009,South West,7,7. Sales and customer service occupations,215166,2011
E12000009,South West,8,"8. Process, plant and machine operatives",170842,2011
E12000009,South West,9,9. Elementary occupations,282316,2011
W92000004,Wales,1,"1. Managers, directors and senior officials",121812,2011
W92000004,Wales,2,2. Professional occupations,206904,2011
W92000004,Wales,3,3. Associate professional and technical occupations,139877,2011
W92000004,Wales,4,4. Administrative and secretarial occupations,148077,2011
W92000004,Wales,5,5. Skilled trades occupations,180679,2011
W92000004,Wales,6,"6. Caring, leisure and other service occupations",140524,2011
W92000004,Wales,7,7. Sales and customer service occupations,120351,2011
W92000004,Wales,8,"8. Process, plant and machine operatives",108278,2011
W92000004,Wales,9,9. Elementary occupations,159862,2011
